Date,Date Processed,Description,Amount
02 Oct 2024,02 Oct 2024,MEMBERSHIP FEE INSTALLMENT,12.99
01 Oct 2024,02 Oct 2024,GOOGLE CLOUD EMEA LIMIT IRELAND,53.15
01 Oct 2024,02 Oct 2024,MARCHE DORION 2451      MONTREAL,136.28
30 Sep 2024,02 Oct 2024,#534 SPORTS EXPERTS     MONTREAL,156.91
30 Sep 2024,02 Oct 2024,POULET ROUGE MCGILL 001 MONTREAL,18.58
29 Sep 2024,30 Sep 2024,AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,11.29
29 Sep 2024,01 Oct 2024,MARCHE DORION 2451      MONTREAL,31.13
29 Sep 2024,29 Sep 2024,MICROBRASSERIE TROIS LA Vaudreuil-Dorio,16.10
28 Sep 2024,29 Sep 2024,SP COZEY                MONTREAL,2690.42
28 Sep 2024,30 Sep 2024,SR-CAFE ORR-MONTREAL-F4 MONTREAL,5.90
28 Sep 2024,29 Sep 2024,SR-CAFE ORR-MONTREAL-F4 MONTREAL,14.98
27 Sep 2024,28 Sep 2024,BAR MONSIEUR RICARD 00- MONTREAL,11.80
27 Sep 2024,28 Sep 2024,BAR MONSIEUR RICARD 00- MONTREAL,23.60
27 Sep 2024,28 Sep 2024,BAR MONSIEUR RICARD 00- MONTREAL,29.50
26 Sep 2024,27 Sep 2024,AIRCANADA ONBOARD CAFE  MISSISSAUGA,12.55
26 Sep 2024,27 Sep 2024,MARCHE DORION 2451      MONTREAL,67.65
26 Sep 2024,27 Sep 2024,PUBLIC MOBILE SELF      EDMONTON,38.42
26 Sep 2024,26 Sep 2024,SPOTIFY                 STOCKHOLM,12.42
24 Sep 2024,25 Sep 2024,AMZN MKTP CA*FC7WD0543  WWW.AMAZON.CA,31.03
24 Sep 2024,25 Sep 2024,MARCHE DORION 2451      MONTREAL,11.48
24 Sep 2024,25 Sep 2024,WEBFLOW.COM             SAN FRANCISCO,24.95
23 Sep 2024,24 Sep 2024,CANARD CAFE CANARD CAFE MONTREAL,8.15
23 Sep 2024,24 Sep 2024,MARCHE DORION 2451      MONTREAL,147.63
23 Sep 2024,23 Sep 2024,PAYMENT RECEIVED - THANK YOU,-3778.70
22 Sep 2024,22 Sep 2024,American Express Travel,-881.11
22 Sep 2024,24 Sep 2024,Fitzroy                 MONTREAL,14.25
22 Sep 2024,23 Sep 2024,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,4.51
22 Sep 2024,23 Sep 2024,SQDC77048 MTL VILLAGE   MONTREAL,63.00
22 Sep 2024,22 Sep 2024,UBER EATS               HTTPS://HELP.UB,44.18
21 Sep 2024,23 Sep 2024,Air Canada AMERICAN EXP Toronto,881.11
21 Sep 2024,21 Sep 2024,NETFLIX.COM             844-505-2993,24.14
21 Sep 2024,21 Sep 2024,PIKNIC ELECTRONIK       Montreal,23.60
21 Sep 2024,21 Sep 2024,PIKNIC ELECTRONIK       Montreal,27.60
21 Sep 2024,22 Sep 2024,SP KOTN                 TORONTO,158.67
19 Sep 2024,20 Sep 2024,ADOBE Adobe Systems     SAN JOSE,53.55
19 Sep 2024,21 Sep 2024,U.N.I. TRAINING VIEUX M MONTREAL,86.23
17 Sep 2024,18 Sep 2024,AMZN MKTP CA*LF20I7183  WWW.AMAZON.CA,9.76
17 Sep 2024,20 Sep 2024,AMZN MKTP CA*P921S6W83  WWW.AMAZON.CA,178.21
17 Sep 2024,17 Sep 2024,EQ3 LTD.                Winnipeg,218.43
17 Sep 2024,18 Sep 2024,MARCHE DORION 2451      MONTREAL,144.56
17 Sep 2024,18 Sep 2024,SPLICE.COM              NEW YORK CITY,12.60
